levelId,levelName,sourceColorId,sourceHex,semanticFamily,usage,localColorId,localName,localHex,mappingScore,topCandidates,isHighRisk
1,引导关,0,#FFFFFF,米白/白,72,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
1,引导关,1,#440823,粉,48,17,酒红,#782F3C,40.881,17酒红:40.881 / 1粉红:57.643 / 19深灰:63.712,True
1,引导关,2,#133113,绿,17,12,深绿,#207955,38.694,12深绿:38.694 / 19深灰:57.21 / 11绿色:68.036,False
1,引导关,3,#30DD30,绿,11,11,绿色,#37A92D,29.259,11绿色:29.259 / 9黄绿:43.382 / 12深绿:80.044,False
1,引导关,4,#178DED,天蓝,12,13,天蓝,#20A8DC,32.219,13天蓝:32.219 / 7蓝色:45.574 / 18深蓝:61.834,False
1,引导关,5,#F6EFEE,米白/白,2,20,米白,#F2EDE4,-5.706,20米白:-5.706 / 15浅紫:22.433 / 6米黄:29.254,False
1,引导关,6,#082A45,天蓝,3,19,深灰,#373737,53.477,19深灰:53.477 / 18深蓝:54.954 / 13天蓝:54.992,True
1,引导关,7,#F0237F,粉,12,1,粉红,#ED5090,13.949,1粉红:13.949 / 17酒红:71.165 / 10红色:78.169,False
1,引导关,8,#83468F,紫,4,18,深蓝,#36387E,33.128,18深蓝:33.128 / 8紫色:46.186 / 7蓝色:47.233,False
1,引导关,9,#2D1133,紫,3,18,深蓝,#36387E,38.142,18深蓝:38.142 / 19深灰:61.297 / 17酒红:62.633,False
2,七彩小熊,0,#6953AE,蓝,97,18,深蓝,#36387E,21.448,18深蓝:21.448 / 7蓝色:26.184 / 8紫色:39.728,False
2,七彩小熊,1,#FE6158,红,48,10,红色,#EA281A,24.774,10红色:24.774 / 16棕色:40.443 / 1粉红:44.12,False
2,七彩小熊,2,#FFAF69,橙/棕,48,4,橙色,#FE8B10,15.461,4橙色:15.461 / 5肤色:26.181 / 16棕色:39.926,False
2,七彩小熊,3,#FFE27D,黄,48,3,黄色,#F8C811,3.128,3黄色:3.128 / 9黄绿:47.226 / 4橙色:52.102,False
2,七彩小熊,4,#88FF95,绿,48,11,绿色,#37A92D,34.178,11绿色:34.178 / 9黄绿:47.736 / 12深绿:62.72,False
2,七彩小熊,5,#77F7FF,青,48,2,青色,#4EEAEA,9.468,2青色:9.468 / 13天蓝:39.982 / 12深绿:57.989,False
2,七彩小熊,6,#6A9CFF,天蓝,48,13,天蓝,#20A8DC,38.161,13天蓝:38.161 / 7蓝色:42.24 / 18深蓝:62.743,False
2,七彩小熊,7,#FFFFFF,米白/白,5,20,米白,#F2EDE4,-2.147,20米白:-2.147 / 15浅紫:26.257 / 6米黄:31.651,False
2,七彩小熊,8,#CC9BF8,紫,48,7,蓝色,#4A4DCF,48.291,7蓝色:48.291 / 8紫色:51.937 / 18深蓝:52.829,False
