sourceHex,semanticFamily,usage,levelCount,localColorId,localName,localHex,mappingScore,exampleLevels
#FFFFFF,米白/白,4844,40,20,米白,#F2EDE4,-2.147,"1,2,3,4,6,7,8,9,10,11,12,13"
#F3F3F3,米白/白,2928,8,20,米白,#F2EDE4,-4.685,"30,58,63,65,92,96,98,100"
#E0414C,红,1455,11,10,红色,#EA281A,28.503,"14,18,28,32,34,38,41,46,64,87,97"
#FDFDF5,米白/白,1012,6,20,米白,#F2EDE4,-4.458,"22,41,57,64,68,75"
#2D1F41,紫,855,3,18,深蓝,#36387E,29.523,"36,39,76"
#D1C5C5,米白/白,765,6,20,米白,#F2EDE4,14.446,"30,58,63,92,96,100"
#FFAF58,橙/棕,676,3,4,橙色,#FE8B10,9.3,"42,55,64"
#F7D67B,黄,660,3,3,黄色,#F8C811,6.189,"58,63,80"
#7077B5,蓝,609,1,18,深蓝,#36387E,27.587,79
#FEE7DC,橙/棕,608,1,20,米白,#F2EDE4,6.801,20
#FFE4A9,黄,591,1,3,黄色,#F8C811,23.817,33
#585C77,蓝,587,1,18,深蓝,#36387E,32.827,30
#3D2317,橙/棕,569,3,17,酒红,#782F3C,31.855,"32,55,71"
#342D2D,红,562,1,19,深灰,#373737,15.132,58
#535353,黑/深灰,542,1,19,深灰,#373737,12.233,14
#68301A,橙/棕,541,1,16,棕色,#974714,24.346,99
#74CEFF,天蓝,541,4,13,天蓝,#20A8DC,16.097,"55,57,71,91"
#73B0FA,天蓝,528,4,13,天蓝,#20A8DC,22.565,"33,36,39,79"
#FFF0DE,橙/棕,521,4,20,米白,#F2EDE4,6.128,"27,37,53,86"
#542C14,橙/棕,496,1,17,酒红,#782F3C,29.849,100
#FFD06B,黄,483,5,3,黄色,#F8C811,-0.014,"14,18,41,47,91"
#B3503C,红,482,1,16,棕色,#974714,18.6,99
#3884B8,天蓝,469,1,13,天蓝,#20A8DC,17.047,100
#3F2E43,紫,454,1,18,深蓝,#36387E,40.697,96
#A1A1A1,灰,446,1,15,浅紫,#C4BED9,18.922,55
#F76A67,红,446,2,10,红色,#EA281A,34.092,"30,99"
#FFDF97,黄,444,1,3,黄色,#F8C811,16.467,26
#FFAC9D,红,443,1,5,肤色,#F4BD9E,33.906,20
#0E3B35,青,429,1,12,深绿,#207955,35.271,88
#FBFDFC,米白/白,428,3,20,米白,#F2EDE4,-2.897,"23,89,97"
#EDC07A,黄,426,2,3,黄色,#F8C811,15.16,"35,71"
#592100,橙/棕,424,3,16,棕色,#974714,23.877,"52,55,64"
#6B8ECA,天蓝,418,1,13,天蓝,#20A8DC,25.204,62
#312C45,蓝,417,3,18,深蓝,#36387E,31.479,"3,15,45"
#89C3EB,天蓝,415,2,13,天蓝,#20A8DC,18.848,"58,100"
#5A5A5A,黑/深灰,412,1,19,深灰,#373737,15.173,96
#FFA3A9,红,411,2,14,浅粉,#EEB2BC,33.112,"80,92"
#555050,黑/深灰,409,1,19,深灰,#373737,11.63,29
#FFB3A9,红,406,1,5,肤色,#F4BD9E,33.527,29
#C8E17C,黄绿,387,1,9,黄绿,#9FCE21,30.283,87
#C5B6FF,蓝,384,1,15,浅紫,#C4BED9,47.144,47
#373737,黑/深灰,378,2,19,深灰,#373737,-8.0,"22,68"
#FFB6BB,红,377,1,14,浅粉,#EEB2BC,7.635,63
#90BA32,黄绿,374,1,9,黄绿,#9FCE21,14.175,92
#9FB6E2,天蓝,374,1,13,天蓝,#20A8DC,27.708,72
#28130C,黑/深灰,372,1,19,深灰,#373737,33.35,99
#E5A65C,橙/棕,368,2,4,橙色,#FE8B10,18.277,"27,86"
#BACCE9,天蓝,366,1,15,浅紫,#C4BED9,15.347,26
#ECC8B0,橙/棕,366,1,5,肤色,#F4BD9E,9.932,99
#0E152C,蓝,365,1,18,深蓝,#36387E,36.671,62
#FFCA57,黄,357,2,3,黄色,#F8C811,-6.975,"88,100"
#2D2727,红,355,1,19,深灰,#373737,17.403,30
#FAE9D1,米黄,355,2,20,米白,#F2EDE4,9.021,"25,74"
#FEFEFE,米白/白,355,3,20,米白,#F2EDE4,-2.412,"44,91,94"
#F55E7F,红,354,1,1,粉红,#ED5090,17.438,20
#162F61,天蓝,353,1,18,深蓝,#36387E,36.276,72
#FFBFF6,粉,345,1,14,浅粉,#EEB2BC,31.543,66
#DE0D0D,红,338,1,10,红色,#EA281A,4.983,78
#2B53DE,蓝,337,1,7,蓝色,#4A4DCF,9.339,62
#4DA078,绿,331,1,12,深绿,#207955,15.684,88
#3C312C,橙/棕,330,1,19,深灰,#373737,20.662,79
#111110,黑/深灰,325,1,19,深灰,#373737,10.042,44
#152161,蓝,325,1,18,深蓝,#36387E,12.478,33
#EBE6FF,蓝,319,1,20,米白,#F2EDE4,7.593,45
#EBEEF5,米白/白,311,1,20,米白,#F2EDE4,-1.329,79
#3C9CCF,天蓝,309,2,13,天蓝,#20A8DC,7.105,"18,45"
#FC7C72,红,306,2,16,棕色,#974714,38.784,"58,100"
#CD4548,红,305,2,10,红色,#EA281A,33.04,"30,58"
#599126,绿,304,1,11,绿色,#37A92D,24.244,92
#43254D,紫,303,1,18,深蓝,#36387E,30.589,88
#D87C56,橙/棕,301,1,16,棕色,#974714,23.891,83
#F0D2B3,橙/棕,299,1,5,肤色,#F4BD9E,13.408,84
#F8EFE5,米白/白,297,2,20,米白,#F2EDE4,-8.176,"31,83"
#BC874E,橙/棕,296,2,4,橙色,#FE8B10,26.564,"36,73"
#311C41,紫,293,1,18,深蓝,#36387E,30.444,60
#295417,绿,292,2,12,深绿,#207955,33.029,"25,34"
#C44000,橙/棕,291,1,4,橙色,#FE8B10,16.922,80
#56362A,橙/棕,286,1,17,酒红,#782F3C,26.35,63
#FDA74A,橙/棕,284,2,4,橙色,#FE8B10,4.155,"62,84"
#FFE064,黄,282,1,3,黄色,#F8C811,-6.778,59
#302116,橙/棕,279,1,19,深灰,#373737,28.598,88
#F7C079,橙/棕,279,1,5,肤色,#F4BD9E,22.489,79
#27154D,蓝,277,1,18,深蓝,#36387E,20.937,66
#44475A,蓝,277,1,18,深蓝,#36387E,34.731,57
#505576,蓝,277,1,18,深蓝,#36387E,28.265,36
#7AB443,绿,276,1,11,绿色,#37A92D,22.848,87
#B4834E,橙/棕,275,1,5,肤色,#F4BD9E,27.441,95
#FFCF9B,橙/棕,271,1,5,肤色,#F4BD9E,13.513,21
#000000,黑/深灰,270,2,19,深灰,#373737,15.069,"14,28"
#5A5777,蓝,270,1,18,深蓝,#36387E,29.234,37
#EAD4BE,橙/棕,269,3,20,米白,#F2EDE4,12.333,"24,57,68"
#A2A8B2,天蓝,267,1,15,浅紫,#C4BED9,31.873,48
#361C49,紫,266,2,18,深蓝,#36387E,26.854,"31,37"
#B6896A,橙/棕,264,2,5,肤色,#F4BD9E,20.797,"88,99"
#917C7A,红,263,1,17,酒红,#782F3C,37.793,68
#FFCB80,黄,263,1,3,黄色,#F8C811,12.666,56
#7BA1FF,天蓝,261,1,13,天蓝,#20A8DC,37.495,23
#A18AFF,蓝,259,1,7,蓝色,#4A4DCF,29.675,42
#FFBC3F,黄,254,2,3,黄色,#F8C811,-9.557,"3,6"
#2E2941,蓝,252,2,18,深蓝,#36387E,32.464,"5,12"
#E7CBC5,红,251,1,20,米白,#F2EDE4,13.42,44
#FFF6B4,黄,250,1,3,黄色,#F8C811,24.851,60
#901F29,红,249,1,17,酒红,#782F3C,21.595,80
#BE8D57,橙/棕,247,1,5,肤色,#F4BD9E,24.427,93
#D85D1F,橙/棕,247,1,4,橙色,#FE8B10,10.122,52
#E39F41,橙/棕,247,1,4,橙色,#FE8B10,10.485,99
#F3ECE1,米白/白,247,1,20,米白,#F2EDE4,-8.711,39
#1E3E11,绿,243,1,12,深绿,#207955,37.71,92
#7568BB,蓝,242,1,18,深蓝,#36387E,24.005,60
#746868,红,240,1,17,酒红,#782F3C,32.715,38
#CE5434,红,240,3,16,棕色,#974714,21.859,"59,65,73"
#BBB7BA,灰,237,1,15,浅紫,#C4BED9,13.296,24
#FFE372,黄,228,1,3,黄色,#F8C811,-1.565,73
#74AE56,绿,227,2,11,绿色,#37A92D,26.789,"32,52"
#8D8D8D,灰,227,2,15,浅紫,#C4BED9,24.455,"22,32"
#4A4949,黑/深灰,225,1,19,深灰,#373737,0.062,28
#3D2351,紫,224,1,18,深蓝,#36387E,24.874,18
#FF9B57,橙/棕,224,1,4,橙色,#FE8B10,8.547,96
#563020,橙/棕,222,2,17,酒红,#782F3C,25.992,"90,97"
#56311F,橙/棕,222,1,17,酒红,#782F3C,27.303,95
#FFB3AD,红,222,3,14,浅粉,#EEB2BC,32.031,"30,58,96"
#FFEBD1,橙/棕,222,1,20,米白,#F2EDE4,10.454,18
