"type","levelIds","extra"
"exact_cropped","33 373","{}"
"exact_cropped","175 677","{}"
"exact_cropped","177 625","{}"
"exact_cropped","183 598","{}"
"exact_cropped","191 623 747","{}"
"exact_cropped","220 819","{}"
"exact_cropped","225 707","{}"
"exact_cropped","241 850","{}"
"exact_cropped","275 570","{}"
"exact_cropped","283 857","{}"
"exact_cropped","285 537","{}"
"exact_cropped","286 585","{}"
"exact_cropped","297 856","{}"
"exact_cropped","299 678","{}"
"exact_cropped","308 572","{}"
"exact_cropped","313 592","{}"
"exact_cropped","326 750","{}"
"exact_cropped","350 581","{}"
"exact_cropped","380 427","{}"
"exact_cropped","417 718","{}"
"exact_cropped","531 815","{}"
"exact_cropped","660 746","{}"
"exact_cropped","697 826","{}"
"strict_recolor","249 859","{""distinctExactPictures"":2,""cropSize"":""59x29""}"
"strict_recolor","311 848","{""distinctExactPictures"":2,""cropSize"":""28x28""}"
"strict_recolor","555 810","{""distinctExactPictures"":2,""cropSize"":""21x22""}"
"shape_only_weak","46 79 107 131 134 151 198 266 279 282 422 437 467 475 479 482 484 485 491 495 498 725 833","{""distinctPatterns"":23,""cropSize"":""25x25""}"
"shape_only_weak","90 99 372 378 456 512 514 517 519 520 551 552 554 557 559 561 736","{""distinctPatterns"":17,""cropSize"":""30x30""}"
"shape_only_weak","14 120 160 173 202 276 365 371 446 462 502 530 849","{""distinctPatterns"":13,""cropSize"":""24x24""}"
"shape_only_weak","149 312 322 532 535 565 757 834","{""distinctPatterns"":8,""cropSize"":""29x29""}"
"shape_only_weak","26 241 274 297 841 850 856","{""distinctPatterns"":5,""cropSize"":""25x24""}"
"shape_only_weak","28 88 93 358 359 447 538","{""distinctPatterns"":7,""cropSize"":""32x32""}"
"shape_only_weak","44 195 258 442 503 590 618","{""distinctPatterns"":7,""cropSize"":""23x23""}"
"shape_only_weak","192 238 461 526 553 715 853","{""distinctPatterns"":7,""cropSize"":""22x25""}"
"shape_only_weak","197 309 472 476 508 569 662","{""distinctPatterns"":7,""cropSize"":""35x35""}"
"shape_only_weak","54 78 351 356 361 363","{""distinctPatterns"":6,""cropSize"":""18x18""}"
"shape_only_weak","153 186 270 375 493 759","{""distinctPatterns"":6,""cropSize"":""45x45""}"
"shape_only_weak","170 205 469 477 507","{""distinctPatterns"":5,""cropSize"":""40x40""}"
"shape_only_weak","237 318 324 575 831","{""distinctPatterns"":5,""cropSize"":""29x28""}"
"shape_only_weak","41 52 555 810","{""distinctPatterns"":3,""cropSize"":""21x22""}"
"shape_only_weak","106 401 412 516","{""distinctPatterns"":4,""cropSize"":""20x20""}"
"shape_only_weak","126 380 427 843","{""distinctPatterns"":3,""cropSize"":""21x24""}"
"shape_only_weak","157 586 603 870","{""distinctPatterns"":4,""cropSize"":""23x22""}"
"shape_only_weak","212 505 548 566","{""distinctPatterns"":4,""cropSize"":""26x26""}"
"shape_only_weak","240 271 295 808","{""distinctPatterns"":4,""cropSize"":""28x27""}"
"shape_only_weak","284 332 350 581","{""distinctPatterns"":3,""cropSize"":""37x38""}"
"shape_only_weak","311 338 544 848","{""distinctPatterns"":3,""cropSize"":""28x28""}"
"shape_only_weak","83 293 529","{""distinctPatterns"":3,""cropSize"":""22x22""}"
"shape_only_weak","164 381 419","{""distinctPatterns"":3,""cropSize"":""22x21""}"
"shape_only_weak","194 595 626","{""distinctPatterns"":3,""cropSize"":""27x27""}"
"shape_only_weak","207 275 570","{""distinctPatterns"":2,""cropSize"":""24x23""}"
"shape_only_weak","233 628 639","{""distinctPatterns"":3,""cropSize"":""30x29""}"
"shape_only_weak","280 560 696","{""distinctPatterns"":3,""cropSize"":""30x35""}"
"shape_only_weak","298 577 579","{""distinctPatterns"":3,""cropSize"":""28x29""}"
"shape_only_weak","299 678 713","{""distinctPatterns"":2,""cropSize"":""27x32""}"
"shape_only_weak","308 383 572","{""distinctPatterns"":2,""cropSize"":""37x40""}"
"shape_only_weak","443 550 576","{""distinctPatterns"":3,""cropSize"":""36x36""}"
"shape_only_weak","531 815 864","{""distinctPatterns"":2,""cropSize"":""25x34""}"
"shape_only_weak","539 571 839","{""distinctPatterns"":3,""cropSize"":""26x29""}"
"shape_only_weak","10 630","{""distinctPatterns"":2,""cropSize"":""16x16""}"
"shape_only_weak","21 146","{""distinctPatterns"":2,""cropSize"":""21x21""}"
"shape_only_weak","36 76","{""distinctPatterns"":2,""cropSize"":""22x23""}"
"shape_only_weak","132 474","{""distinctPatterns"":2,""cropSize"":""24x22""}"
"shape_only_weak","139 158","{""distinctPatterns"":2,""cropSize"":""25x30""}"
"shape_only_weak","152 337","{""distinctPatterns"":2,""cropSize"":""40x46""}"
"shape_only_weak","184 842","{""distinctPatterns"":2,""cropSize"":""23x24""}"
"shape_only_weak","189 634","{""distinctPatterns"":2,""cropSize"":""20x26""}"
"shape_only_weak","208 858","{""distinctPatterns"":2,""cropSize"":""21x26""}"
"shape_only_weak","218 567","{""distinctPatterns"":2,""cropSize"":""27x30""}"
"shape_only_weak","228 496","{""distinctPatterns"":2,""cropSize"":""25x25""}"
"shape_only_weak","244 659","{""distinctPatterns"":2,""cropSize"":""23x25""}"
"shape_only_weak","264 652","{""distinctPatterns"":2,""cropSize"":""35x37""}"
"shape_only_weak","290 547","{""distinctPatterns"":2,""cropSize"":""30x27""}"
"shape_only_weak","296 409","{""distinctPatterns"":2,""cropSize"":""27x29""}"
"shape_only_weak","304 649","{""distinctPatterns"":2,""cropSize"":""25x31""}"
"shape_only_weak","343 796","{""distinctPatterns"":2,""cropSize"":""42x43""}"
"shape_only_weak","346 528","{""distinctPatterns"":2,""cropSize"":""38x42""}"
"shape_only_weak","349 749","{""distinctPatterns"":2,""cropSize"":""26x57""}"
