"type","levelIds","extra"
"exact_cropped","224 819","{}"
"exact_cropped","300 826","{}"
"shape_only_weak","46 79 107 131 134 151 198 266 279 282 422 437 467 475 479 482 484 485 491 495 498 725 833","{""cropSize"":""25x25"",""distinctPatterns"":23}"
"shape_only_weak","90 99 372 378 456 512 514 517 519 520 551 552 554 557 559 561 736","{""cropSize"":""30x30"",""distinctPatterns"":17}"
"shape_only_weak","14 120 160 173 202 276 365 371 446 462 502 530 849","{""cropSize"":""24x24"",""distinctPatterns"":13}"
"shape_only_weak","149 312 322 532 535 565 757 834","{""cropSize"":""29x29"",""distinctPatterns"":8}"
"shape_only_weak","28 88 93 358 359 447 538","{""cropSize"":""32x32"",""distinctPatterns"":7}"
"shape_only_weak","44 195 258 442 503 590 618","{""cropSize"":""23x23"",""distinctPatterns"":7}"
"shape_only_weak","192 238 461 526 553 715 853","{""cropSize"":""22x25"",""distinctPatterns"":7}"
"shape_only_weak","197 309 472 476 508 569 662","{""cropSize"":""35x35"",""distinctPatterns"":7}"
"shape_only_weak","54 78 351 356 361 363","{""cropSize"":""18x18"",""distinctPatterns"":6}"
"shape_only_weak","153 186 270 375 493 759","{""cropSize"":""45x45"",""distinctPatterns"":6}"
"shape_only_weak","26 241 274 297 841","{""cropSize"":""25x24"",""distinctPatterns"":5}"
"shape_only_weak","170 205 469 477 507","{""cropSize"":""40x40"",""distinctPatterns"":5}"
"shape_only_weak","237 318 324 575 831","{""cropSize"":""29x28"",""distinctPatterns"":5}"
"shape_only_weak","106 401 412 516","{""cropSize"":""20x20"",""distinctPatterns"":4}"
"shape_only_weak","157 586 603 870","{""cropSize"":""23x22"",""distinctPatterns"":4}"
"shape_only_weak","194 595 626 848","{""cropSize"":""27x27"",""distinctPatterns"":4}"
"shape_only_weak","212 505 548 566","{""cropSize"":""26x26"",""distinctPatterns"":4}"
"shape_only_weak","240 271 295 808","{""cropSize"":""28x27"",""distinctPatterns"":4}"
"shape_only_weak","41 52 810","{""cropSize"":""21x22"",""distinctPatterns"":3}"
"shape_only_weak","83 293 529","{""cropSize"":""22x22"",""distinctPatterns"":3}"
"shape_only_weak","126 380 843","{""cropSize"":""21x24"",""distinctPatterns"":3}"
"shape_only_weak","164 381 419","{""cropSize"":""22x21"",""distinctPatterns"":3}"
"shape_only_weak","233 628 639","{""cropSize"":""30x29"",""distinctPatterns"":3}"
"shape_only_weak","280 560 696","{""cropSize"":""30x35"",""distinctPatterns"":3}"
"shape_only_weak","284 332 350","{""cropSize"":""37x38"",""distinctPatterns"":3}"
"shape_only_weak","298 577 579","{""cropSize"":""28x29"",""distinctPatterns"":3}"
"shape_only_weak","311 338 544","{""cropSize"":""28x28"",""distinctPatterns"":3}"
"shape_only_weak","443 550 576","{""cropSize"":""36x36"",""distinctPatterns"":3}"
"shape_only_weak","539 571 839","{""cropSize"":""26x29"",""distinctPatterns"":3}"
"shape_only_weak","10 630","{""cropSize"":""16x16"",""distinctPatterns"":2}"
"shape_only_weak","21 146","{""cropSize"":""21x21"",""distinctPatterns"":2}"
"shape_only_weak","36 76","{""cropSize"":""22x23"",""distinctPatterns"":2}"
"shape_only_weak","132 474","{""cropSize"":""24x22"",""distinctPatterns"":2}"
"shape_only_weak","139 158","{""cropSize"":""25x30"",""distinctPatterns"":2}"
"shape_only_weak","152 337","{""cropSize"":""40x46"",""distinctPatterns"":2}"
"shape_only_weak","184 842","{""cropSize"":""23x24"",""distinctPatterns"":2}"
"shape_only_weak","189 634","{""cropSize"":""20x26"",""distinctPatterns"":2}"
"shape_only_weak","207 275","{""cropSize"":""24x23"",""distinctPatterns"":2}"
"shape_only_weak","208 858","{""cropSize"":""21x26"",""distinctPatterns"":2}"
"shape_only_weak","218 567","{""cropSize"":""27x30"",""distinctPatterns"":2}"
"shape_only_weak","228 496","{""cropSize"":""25x25"",""distinctPatterns"":2}"
"shape_only_weak","244 659","{""cropSize"":""23x25"",""distinctPatterns"":2}"
"shape_only_weak","264 652","{""cropSize"":""35x37"",""distinctPatterns"":2}"
"shape_only_weak","290 547","{""cropSize"":""30x27"",""distinctPatterns"":2}"
"shape_only_weak","296 409","{""cropSize"":""27x29"",""distinctPatterns"":2}"
"shape_only_weak","299 713","{""cropSize"":""27x32"",""distinctPatterns"":2}"
"shape_only_weak","304 649","{""cropSize"":""25x31"",""distinctPatterns"":2}"
"shape_only_weak","308 383","{""cropSize"":""37x40"",""distinctPatterns"":2}"
"shape_only_weak","343 796","{""cropSize"":""42x43"",""distinctPatterns"":2}"
"shape_only_weak","346 528","{""cropSize"":""38x42"",""distinctPatterns"":2}"
"shape_only_weak","349 749","{""cropSize"":""26x57"",""distinctPatterns"":2}"
"shape_only_weak","373 439","{""cropSize"":""28x30"",""distinctPatterns"":2}"
"shape_only_weak","400 816","{""cropSize"":""35x36"",""distinctPatterns"":2}"
"shape_only_weak","431 463","{""cropSize"":""34x34"",""distinctPatterns"":2}"
"shape_only_weak","433 555","{""cropSize"":""40x38"",""distinctPatterns"":2}"
"shape_only_weak","531 864","{""cropSize"":""25x34"",""distinctPatterns"":2}"
"shape_only_weak","546 558","{""cropSize"":""17x21"",""distinctPatterns"":2}"
"shape_only_weak","556 812","{""cropSize"":""18x22"",""distinctPatterns"":2}"
"shape_only_weak","638 898","{""cropSize"":""33x37"",""distinctPatterns"":2}"
"shape_only_weak","684 890","{""cropSize"":""60x60"",""distinctPatterns"":2}"
"shape_only_weak","875 877","{""cropSize"":""43x43"",""distinctPatterns"":2}"
