"levelId","confidence","kinds","componentCount","highConfidenceCount","mediumConfidenceCount","cropWidth","cropHeight","filledCount","file"
"34","high","center_near_gap_connected_to_outside|center_internal_hole","3","1","2","16","20","160","assets/LevelData/level_34.json"
"58","high","center_near_gap_connected_to_outside|offcenter_internal_hole|center_internal_hole","9","1","8","28","31","450","assets/LevelData/level_58.json"
"91","high","center_internal_hole","1","1","0","29","33","684","assets/LevelData/level_91.json"
"122","high","center_near_gap_connected_to_outside|center_internal_hole","2","1","1","27","30","504","assets/LevelData/level_122.json"
"150","high","center_internal_hole|center_near_gap_connected_to_outside","3","2","1","27","27","343","assets/LevelData/level_150.json"
"162","high","offcenter_internal_hole|center_internal_hole|center_near_gap_connected_to_outside","5","1","4","35","32","730","assets/LevelData/level_162.json"
"188","high","center_internal_hole","1","1","0","26","30","538","assets/LevelData/level_188.json"
"229","high","center_near_gap_connected_to_outside|center_internal_hole|offcenter_internal_hole","4","1","3","45","45","944","assets/LevelData/level_229.json"
"231","high","center_near_gap_connected_to_outside|offcenter_internal_hole|center_internal_hole","9","1","8","35","57","837","assets/LevelData/level_231.json"
"248","high","center_internal_hole|center_near_gap_connected_to_outside","2","1","1","29","29","526","assets/LevelData/level_248.json"
"253","high","center_near_gap_connected_to_outside|center_internal_hole|offcenter_internal_hole","5","2","3","30","27","400","assets/LevelData/level_253.json"
"268","high","offcenter_internal_hole|center_internal_hole","6","2","4","31","33","550","assets/LevelData/level_268.json"
"269","high","offcenter_internal_hole|center_internal_hole","4","1","3","31","49","821","assets/LevelData/level_269.json"
"272","high","center_internal_hole","1","1","0","28","30","698","assets/LevelData/level_272.json"
"320","high","center_near_gap_connected_to_outside|offcenter_internal_hole|center_internal_hole","8","4","4","63","51","1663","assets/LevelData/level_320.json"
"335","high","center_internal_hole","1","1","0","50","50","1242","assets/LevelData/level_335.json"
"342","high","center_near_gap_connected_to_outside|center_internal_hole","3","1","2","47","47","1144","assets/LevelData/level_342.json"
"344","high","center_near_gap_connected_to_outside|center_internal_hole","2","1","1","61","57","2084","assets/LevelData/level_344.json"
"369","high","center_internal_hole","1","1","0","35","31","722","assets/LevelData/level_369.json"
"410","high","center_near_gap_connected_to_outside|center_internal_hole","2","1","1","35","40","945","assets/LevelData/level_410.json"
"425","high","center_near_gap_connected_to_outside|offcenter_internal_hole|center_internal_hole","14","10","4","44","46","1198","assets/LevelData/level_425.json"
"434","high","center_near_gap_connected_to_outside|center_internal_hole","2","1","1","41","42","1023","assets/LevelData/level_434.json"
"16","medium","offcenter_internal_hole","2","0","2","13","14","131","assets/LevelData/level_16.json"
"40","medium","offcenter_internal_hole","1","0","1","16","18","200","assets/LevelData/level_40.json"
"48","medium","center_near_gap_connected_to_outside","2","0","2","40","39","756","assets/LevelData/level_48.json"
"55","medium","offcenter_internal_hole","1","0","1","20","27","401","assets/LevelData/level_55.json"
"61","medium","offcenter_internal_hole","1","0","1","15","20","216","assets/LevelData/level_61.json"
"67","medium","offcenter_internal_hole","3","0","3","25","24","504","assets/LevelData/level_67.json"
"70","medium","offcenter_internal_hole","8","0","8","21","21","245","assets/LevelData/level_70.json"
"82","medium","offcenter_internal_hole","1","0","1","32","31","714","assets/LevelData/level_82.json"
"87","medium","offcenter_internal_hole","2","0","2","40","24","780","assets/LevelData/level_87.json"
"92","medium","center_near_gap_connected_to_outside|offcenter_internal_hole","2","0","2","32","32","503","assets/LevelData/level_92.json"
"114","medium","offcenter_internal_hole","2","0","2","26","30","503","assets/LevelData/level_114.json"
"116","medium","center_near_gap_connected_to_outside","2","0","2","19","30","348","assets/LevelData/level_116.json"
"118","medium","offcenter_internal_hole","2","0","2","23","26","440","assets/LevelData/level_118.json"
"128","medium","center_near_gap_connected_to_outside","1","0","1","39","26","696","assets/LevelData/level_128.json"
"142","medium","offcenter_internal_hole","1","0","1","17","26","274","assets/LevelData/level_142.json"
"174","medium","offcenter_internal_hole","2","0","2","25","31","542","assets/LevelData/level_174.json"
"182","medium","offcenter_internal_hole","1","0","1","35","32","701","assets/LevelData/level_182.json"
"183","medium","center_near_gap_connected_to_outside","1","0","1","46","40","1262","assets/LevelData/level_183.json"
"190","medium","center_near_gap_connected_to_outside|offcenter_internal_hole","3","0","3","27","27","455","assets/LevelData/level_190.json"
"193","medium","offcenter_internal_hole","1","0","1","30","30","688","assets/LevelData/level_193.json"
"204","medium","center_near_gap_connected_to_outside","1","0","1","50","46","1563","assets/LevelData/level_204.json"
"214","medium","center_near_gap_connected_to_outside|offcenter_internal_hole","4","0","4","32","36","526","assets/LevelData/level_214.json"
"215","medium","offcenter_internal_hole","1","0","1","26","27","420","assets/LevelData/level_215.json"
"221","medium","center_near_gap_connected_to_outside","1","0","1","30","40","610","assets/LevelData/level_221.json"
"227","medium","offcenter_internal_hole","1","0","1","29","25","546","assets/LevelData/level_227.json"
"230","medium","center_near_gap_connected_to_outside","1","0","1","43","36","547","assets/LevelData/level_230.json"
"232","medium","offcenter_internal_hole","2","0","2","38","38","623","assets/LevelData/level_232.json"
"245","medium","offcenter_internal_hole","3","0","3","27","30","568","assets/LevelData/level_245.json"
"260","medium","center_near_gap_connected_to_outside","1","0","1","43","37","709","assets/LevelData/level_260.json"
"262","medium","offcenter_internal_hole","2","0","2","31","30","667","assets/LevelData/level_262.json"
"265","medium","center_near_gap_connected_to_outside","1","0","1","46","37","923","assets/LevelData/level_265.json"
"303","medium","offcenter_internal_hole","1","0","1","45","49","1652","assets/LevelData/level_303.json"
"317","medium","offcenter_internal_hole","1","0","1","31","31","557","assets/LevelData/level_317.json"
"327","medium","offcenter_internal_hole","1","0","1","23","46","850","assets/LevelData/level_327.json"
"334","medium","center_near_gap_connected_to_outside","1","0","1","34","38","892","assets/LevelData/level_334.json"
"354","medium","offcenter_internal_hole","1","0","1","21","21","324","assets/LevelData/level_354.json"
"357","medium","center_near_gap_connected_to_outside","2","0","2","24","20","252","assets/LevelData/level_357.json"
"364","medium","center_near_gap_connected_to_outside","1","0","1","24","24","400","assets/LevelData/level_364.json"
"407","medium","center_near_gap_connected_to_outside","1","0","1","41","31","729","assets/LevelData/level_407.json"
"423","medium","offcenter_internal_hole","1","0","1","26","30","476","assets/LevelData/level_423.json"
"436","medium","offcenter_internal_hole|center_near_gap_connected_to_outside","4","0","4","29","31","482","assets/LevelData/level_436.json"
