newLevelId,sourceLevelId,largeGroup,largeGroupRange,smallGroup,smallGroupInLarge,smallGroupRange,smallSlot,role,complexityScore,difficultyTier,generatedName,category,filled,colors,scoreRank,smallGroupAvgScore,largeGroupAvgScore,challengeDeltaVsSetupAvg,note
101,326,1,101-150,1,1,101-105,1,setup_1,58.02,普通,中型多色简笔轮廓,图标/简笔轮廓,462,3,1,62.17,69.4,,setup slot: keeps local average controlled
102,246,1,101-150,1,1,101-105,2,setup_2,59.86,普通,中型多色简笔轮廓,图标/简笔轮廓,461,5,2,62.17,69.4,,setup slot: keeps local average controlled
103,212,1,101-150,1,1,101-105,3,setup_3,60.01,普通,中型多色双轴对称图腾,纹样/双轴对称图腾,405,5,3,62.17,69.4,,setup slot: keeps local average controlled
104,254,1,101-150,1,1,101-105,4,setup_4,63.49,普通,小型多色左右对称徽章,纹样/左右对称徽章,343,4,4,62.17,69.4,,setup slot: keeps local average controlled
105,201,1,101-150,1,1,101-105,5,challenge,69.46,困难,中型多色左右对称徽章,纹样/左右对称徽章,437,7,18,62.17,69.4,9.11,challenge slot: harder than the four setup levels
106,178,1,101-150,2,2,106-110,1,setup_1,63.95,普通,中型多色双轴对称图腾,纹样/双轴对称图腾,400,8,5,66.09,69.4,,setup slot: keeps local average controlled
107,128,1,101-150,2,2,106-110,2,setup_2,64.11,普通,中型多色双轴对称图腾,纹样/双轴对称图腾,625,5,6,66.09,69.4,,setup slot: keeps local average controlled
108,171,1,101-150,2,2,106-110,3,setup_3,65.82,困难,小型多色左右对称徽章,纹样/左右对称徽章,322,4,7,66.09,69.4,,setup slot: keeps local average controlled
109,340,1,101-150,2,2,106-110,4,setup_4,66.82,困难,中型多色简笔轮廓,图标/简笔轮廓,434,5,8,66.09,69.4,,setup slot: keeps local average controlled
110,333,1,101-150,2,2,106-110,5,challenge,69.73,困难,小型多色碎色拼贴图,纹样/碎色马赛克,298,5,23,66.09,69.4,4.56,challenge slot: harder than the four setup levels
111,139,1,101-150,3,3,111-115,1,setup_1,67.02,困难,小型多色双轴对称图腾,纹样/双轴对称图腾,306,6,9,68.2,69.4,,setup slot: keeps local average controlled
112,257,1,101-150,3,3,111-115,2,setup_2,67.74,困难,小型多色双轴对称图腾,纹样/双轴对称图腾,289,5,10,68.2,69.4,,setup slot: keeps local average controlled
113,245,1,101-150,3,3,111-115,3,setup_3,67.75,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,400,6,11,68.2,69.4,,setup slot: keeps local average controlled
114,313,1,101-150,3,3,111-115,4,setup_4,68.33,困难,中型多色环形纹章,纹样/环形纹章,503,6,12,68.2,69.4,,setup slot: keeps local average controlled
115,328,1,101-150,3,3,111-115,5,challenge,70.14,困难,中型多色横幅长卷,构图/横幅长卷,546,6,28,68.2,69.4,2.43,challenge slot: harder than the four setup levels
116,329,1,101-150,4,4,116-120,1,setup_1,68.83,困难,小型多色左右对称徽章,纹样/左右对称徽章,348,4,13,69.37,69.4,,setup slot: keeps local average controlled
117,127,1,101-150,4,4,116-120,2,setup_2,68.84,困难,小型多色左右对称徽章,纹样/左右对称徽章,347,5,14,69.37,69.4,,setup slot: keeps local average controlled
118,282,1,101-150,4,4,116-120,3,setup_3,69.07,困难,中型多色镂空对称图腾,纹样/镂空图腾,440,5,15,69.37,69.4,,setup slot: keeps local average controlled
119,226,1,101-150,4,4,116-120,4,setup_4,69.21,困难,中型多色左右对称徽章,纹样/左右对称徽章,794,4,16,69.37,69.4,,setup slot: keeps local average controlled
120,126,1,101-150,4,4,116-120,5,challenge,70.9,困难,中型高彩双轴对称图腾,纹样/双轴对称图腾,576,9,33,69.37,69.4,1.91,challenge slot: harder than the four setup levels
121,349,1,101-150,5,5,121-125,1,setup_1,69.22,困难,中型多色简笔轮廓,图标/简笔轮廓,458,5,17,69.95,69.4,,setup slot: keeps local average controlled
122,308,1,101-150,5,5,121-125,2,setup_2,69.46,困难,中型多色环形纹章,纹样/环形纹章,504,5,19,69.95,69.4,,setup slot: keeps local average controlled
123,295,1,101-150,5,5,121-125,3,setup_3,69.53,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,437,6,20,69.95,69.4,,setup slot: keeps local average controlled
124,334,1,101-150,5,5,121-125,4,setup_4,69.69,困难,小型多色双轴对称图腾,纹样/双轴对称图腾,340,6,21,69.95,69.4,,setup slot: keeps local average controlled
125,190,1,101-150,5,5,121-125,5,challenge,71.87,困难,中型多色简笔轮廓,图标/简笔轮廓,604,5,38,69.95,69.4,2.4,challenge slot: harder than the four setup levels
126,217,1,101-150,6,6,126-130,1,setup_1,69.71,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,504,4,22,70.34,69.4,,setup slot: keeps local average controlled
127,119,1,101-150,6,6,126-130,2,setup_2,69.76,困难,小型多色双轴对称图腾,纹样/双轴对称图腾,268,6,24,70.34,69.4,,setup slot: keeps local average controlled
128,170,1,101-150,6,6,126-130,3,setup_3,69.8,困难,中型多色简笔轮廓,图标/简笔轮廓,696,5,25,70.34,69.4,,setup slot: keeps local average controlled
129,151,1,101-150,6,6,126-130,4,setup_4,70.09,困难,小型多色普通拼豆图,图案/普通拼豆图,345,7,26,70.34,69.4,,setup slot: keeps local average controlled
130,219,1,101-150,6,6,126-130,5,challenge,72.34,困难,中型多色横向拼豆图,图案/普通拼豆图,734,6,43,70.34,69.4,2.5,challenge slot: harder than the four setup levels
131,300,1,101-150,7,7,131-135,1,setup_1,70.14,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,625,6,27,70.87,69.4,,setup slot: keeps local average controlled
132,252,1,101-150,7,7,131-135,2,setup_2,70.25,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,528,5,29,70.87,69.4,,setup slot: keeps local average controlled
133,284,1,101-150,7,7,131-135,3,setup_3,70.38,困难,小型多色简笔轮廓,图标/简笔轮廓,339,5,30,70.87,69.4,,setup slot: keeps local average controlled
134,133,1,101-150,7,7,131-135,4,setup_4,70.54,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,625,6,31,70.87,69.4,,setup slot: keeps local average controlled
135,207,1,101-150,7,7,131-135,5,challenge,73.05,困难,中型高彩双轴对称图腾,纹样/双轴对称图腾,361,9,48,70.87,69.4,2.72,challenge slot: harder than the four setup levels
136,191,1,101-150,8,8,136-140,1,setup_1,70.86,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,688,6,32,71.61,69.4,,setup slot: keeps local average controlled
137,198,1,101-150,8,8,136-140,2,setup_2,70.93,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,544,3,34,71.61,69.4,,setup slot: keeps local average controlled
138,294,1,101-150,8,8,136-140,3,setup_3,71.41,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,396,5,35,71.61,69.4,,setup slot: keeps local average controlled
139,255,1,101-150,8,8,136-140,4,setup_4,71.54,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,750,7,36,71.61,69.4,,setup slot: keeps local average controlled
140,117,1,101-150,8,8,136-140,5,challenge,73.32,困难,中型多色饱满拼豆图,图案/普通拼豆图,692,6,53,71.61,69.4,2.13,challenge slot: harder than the four setup levels
141,286,1,101-150,9,9,141-145,1,setup_1,71.64,困难,中型多色对称拼豆图,图案/普通拼豆图,712,6,37,72.43,69.4,,setup slot: keeps local average controlled
142,173,1,101-150,9,9,141-145,2,setup_2,71.91,困难,小型多色环形纹章,纹样/环形纹章,274,7,39,72.43,69.4,,setup slot: keeps local average controlled
143,137,1,101-150,9,9,141-145,3,setup_3,72.1,困难,小型多色双轴对称图腾,纹样/双轴对称图腾,309,5,40,72.43,69.4,,setup slot: keeps local average controlled
144,260,1,101-150,9,9,141-145,4,setup_4,72.14,困难,中型多色左右对称徽章,纹样/左右对称徽章,493,6,41,72.43,69.4,,setup slot: keeps local average controlled
145,272,1,101-150,9,9,141-145,5,challenge,74.34,困难,中型高彩双轴对称图腾,纹样/双轴对称图腾,416,10,58,72.43,69.4,2.39,challenge slot: harder than the four setup levels
146,277,1,101-150,10,10,146-150,1,setup_1,72.19,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,441,6,42,72.98,69.4,,setup slot: keeps local average controlled
147,122,1,101-150,10,10,146-150,2,setup_2,72.49,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,450,5,44,72.98,69.4,,setup slot: keeps local average controlled
148,261,1,101-150,10,10,146-150,3,setup_3,72.65,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,480,6,45,72.98,69.4,,setup slot: keeps local average controlled
149,265,1,101-150,10,10,146-150,4,setup_4,72.9,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,841,4,46,72.98,69.4,,setup slot: keeps local average controlled
150,206,1,101-150,10,10,146-150,5,challenge,74.66,困难,小型多色镂空对称图腾,纹样/镂空图腾,343,8,63,72.98,69.4,2.1,challenge slot: harder than the four setup levels
151,149,2,151-200,11,1,151-155,1,setup_1,72.92,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,625,7,47,73.52,75.57,,setup slot: keeps local average controlled
152,121,2,151-200,11,1,151-155,2,setup_2,73.14,困难,超大型多色双轴对称图腾,纹样/双轴对称图腾,1840,7,49,73.52,75.57,,setup slot: keeps local average controlled
153,148,2,151-200,11,1,151-155,3,setup_3,73.18,困难,超大型多色双轴对称图腾,纹样/双轴对称图腾,2025,8,50,73.52,75.57,,setup slot: keeps local average controlled
154,194,2,151-200,11,1,151-155,4,setup_4,73.22,困难,中型高彩左右对称徽章,纹样/左右对称徽章,608,9,51,73.52,75.57,,setup slot: keeps local average controlled
155,332,2,151-200,11,1,151-155,5,challenge,75.16,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,621,6,68,73.52,75.57,2.04,challenge slot: harder than the four setup levels
156,253,2,151-200,12,2,156-160,1,setup_1,73.24,困难,中型多色左右对称徽章,纹样/左右对称徽章,515,4,52,74.0,75.57,,setup slot: keeps local average controlled
157,180,2,151-200,12,2,156-160,2,setup_2,73.35,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,506,5,54,74.0,75.57,,setup slot: keeps local average controlled
158,256,2,151-200,12,2,156-160,3,setup_3,74.01,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,750,8,55,74.0,75.57,,setup slot: keeps local average controlled
159,339,2,151-200,12,2,156-160,4,setup_4,74.04,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,702,6,56,74.0,75.57,,setup slot: keeps local average controlled
160,109,2,151-200,12,2,156-160,5,challenge,75.36,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,576,7,73,74.0,75.57,1.7,challenge slot: harder than the four setup levels
161,324,2,151-200,13,3,161-165,1,setup_1,74.14,困难,小型多色双轴对称图腾,纹样/双轴对称图腾,342,7,57,74.7,75.57,,setup slot: keeps local average controlled
