levelId,generatedName,category,difficultyTier,complexityScore,width,height,filled,colors,timeLimit,displacementRatio,secPerCell,shapeComponents,colorComponents,holes,horizontalSymmetry,verticalSymmetry,fillRate,animal,style,file
4,中型多色左右对称徽章,纹样/左右对称徽章,普通,64.66,28,32,618,5,600,0.5793,0.9709,1,61,0,0.9464,0.7634,0.6897,,,temp\classification_input_004_100\level_4.json
5,中型多色饱满拼豆图,图案/普通拼豆图,困难,66.74,21,26,438,7,421,0.6598,0.9612,1,40,0,0.8022,0.7729,0.8022,,,temp\classification_input_004_100\level_5.json
6,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,67.93,21,21,441,7,0,0.907,,1,29,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_6.json
7,小型多色左右对称徽章,纹样/左右对称徽章,困难,70.36,20,14,228,5,300,1.0,1.3158,1,36,0,1.0,0.7143,0.8143,,,temp\classification_input_004_100\level_7.json
8,中型多色普通拼豆图,图案/普通拼豆图,困难,73.19,28,23,439,8,0,0.6059,,1,64,0,0.7609,0.6584,0.6817,,,temp\classification_input_004_100\level_8.json
9,小型多色普通拼豆图,图案/普通拼豆图,困难,70.85,18,17,212,7,0,0.8208,,2,49,0,0.8562,0.7059,0.6928,,,temp\classification_input_004_100\level_9.json
10,中型多色左右对称徽章,纹样/左右对称徽章,困难,73.16,19,35,455,6,0,0.8022,,1,104,0,0.988,0.6632,0.6842,,,temp\classification_input_004_100\level_10.json
11,中型多色对称拼豆图,图案/普通拼豆图,困难,70.52,32,30,643,7,0,0.7512,,1,60,0,0.8854,0.7688,0.6698,,,temp\classification_input_004_100\level_11.json
12,中型多色左右对称徽章,纹样/左右对称徽章,困难,72.59,27,27,531,5,0,0.8832,,1,75,0,1.0,0.8573,0.7284,,,temp\classification_input_004_100\level_12.json
13,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,72.68,21,22,462,8,0,0.961,,1,39,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_13.json
14,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,65.27,24,24,576,6,0,1.0,,1,16,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_14.json
15,小型多色简笔轮廓,图标/简笔轮廓,普通,63.81,23,19,324,5,0,0.9352,,1,24,0,0.7208,0.7346,0.7414,,,temp\classification_input_004_100\level_15.json
16,大型高彩普通拼豆图,图案/普通拼豆图,专家,82.27,41,48,1334,11,0,0.7211,,1,135,0,0.8486,0.7236,0.6778,,,temp\classification_input_004_100\level_16.json
17,小型多色镂空对称图腾,纹样/镂空图腾,困难,67.06,13,14,131,5,0,0.9924,,1,25,2,0.956,0.7692,0.7198,,,temp\classification_input_004_100\level_17.json
18,中型多色镂空对称图腾,纹样/镂空图腾,困难,75.0,28,31,450,7,0,0.8089,,11,150,8,0.9816,0.6682,0.5184,,,temp\classification_input_004_100\level_18.json
19,小型多色简笔轮廓,图标/简笔轮廓,困难,68.69,16,16,173,5,0,0.9942,,1,36,0,0.7109,0.7578,0.6758,,,temp\classification_input_004_100\level_19.json
20,小型多色左右对称徽章,纹样/左右对称徽章,困难,73.67,14,21,217,7,0,1.0,,1,76,0,0.966,0.6939,0.7381,,,temp\classification_input_004_100\level_20.json
21,小型多色左右对称徽章,纹样/左右对称徽章,普通,58.84,11,14,96,5,0,0.5625,,1,31,0,1.0,0.7143,0.6234,,,temp\classification_input_004_100\level_21.json
22,小型多色环形纹章,纹样/环形纹章,困难,65.34,12,16,113,6,0,0.8142,,1,30,1,0.5104,0.7396,0.5885,,,temp\classification_input_004_100\level_22.json
23,小型高彩镂空对称图腾,纹样/镂空图腾,困难,77.75,21,21,245,10,0,0.8653,,1,98,8,1.0,1.0,0.5556,,,temp\classification_input_004_100\level_23.json
24,中型多色普通拼豆图,图案/普通拼豆图,困难,76.57,33,33,712,6,0,0.9958,,6,92,0,0.8163,0.6951,0.6538,,,temp\classification_input_004_100\level_24.json
25,中型多色普通拼豆图,图案/普通拼豆图,困难,76.72,31,24,540,7,0,0.8537,,1,90,0,0.8575,0.8495,0.7258,,,temp\classification_input_004_100\level_25.json
26,中型高彩双轴对称图腾,纹样/双轴对称图腾,专家,85.02,32,35,849,9,0,0.9929,,1,147,0,0.9482,0.9161,0.758,,,temp\classification_input_004_100\level_26.json
27,中型高彩双轴对称图腾,纹样/双轴对称图腾,专家,86.79,25,31,607,11,0,1.0,,1,129,0,1.0,0.871,0.7832,,,temp\classification_input_004_100\level_27.json
28,中型多色普通拼豆图,图案/普通拼豆图,专家,80.09,35,29,653,8,0,0.9051,,1,96,0,0.7202,0.732,0.6433,,,temp\classification_input_004_100\level_28.json
29,小型高彩双轴对称图腾,纹样/双轴对称图腾,专家,79.21,18,18,324,9,0,0.9753,,1,56,0,1.0,1.0,1.0,,,temp\classification_input_004_100\level_29.json
30,小型多色普通拼豆图,图案/普通拼豆图,困难,67.08,12,12,94,6,0,1.0,,3,25,0,0.8056,0.6111,0.6528,,,temp\classification_input_004_100\level_30.json
31,小型多色简笔轮廓,图标/简笔轮廓,困难,68.07,15,15,153,5,0,1.0,,1,35,0,0.7333,0.7333,0.68,,,temp\classification_input_004_100\level_31.json
