newLevelId,sourceLevelId,block,blockSlot,role,complexityScore,difficultyTier,generatedName,category,filled,colors,scoreRank,blockAvgScore,challengeDeltaVsSetupAvg,note
4,21,1,1,setup_1,58.84,普通,小型多色左右对称徽章,纹样/左右对称徽章,96,5,1,61.58,,铺垫关：拉低本组均值并承接难度上升
5,54,1,2,setup_2,59.76,普通,小型多色双轴对称图腾,纹样/双轴对称图腾,288,4,2,61.58,,铺垫关：拉低本组均值并承接难度上升
6,96,1,3,setup_3,61.28,普通,小型多色简笔轮廓,图标/简笔轮廓,301,4,3,61.58,,铺垫关：拉低本组均值并承接难度上升
7,47,1,4,challenge,66.43,困难,大型多色左右对称徽章,纹样/左右对称徽章,913,7,9,61.58,6.47,每4关挑战点：高于本组前三关均值
8,80,2,1,setup_1,63.24,普通,小型多色左右对称徽章,纹样/左右对称徽章,226,4,4,64.79,,铺垫关：拉低本组均值并承接难度上升
9,15,2,2,setup_2,63.81,普通,小型多色简笔轮廓,图标/简笔轮廓,324,5,5,64.79,,铺垫关：拉低本组均值并承接难度上升
10,4,2,3,setup_3,64.66,普通,中型多色左右对称徽章,纹样/左右对称徽章,618,5,6,64.79,,铺垫关：拉低本组均值并承接难度上升
11,40,2,4,challenge,67.45,困难,小型多色左右对称徽章,纹样/左右对称徽章,188,4,13,64.79,3.55,每4关挑战点：高于本组前三关均值
12,14,3,1,setup_1,65.27,困难,中型多色双轴对称图腾,纹样/双轴对称图腾,576,6,7,66.36,,铺垫关：拉低本组均值并承接难度上升
13,22,3,2,setup_2,65.34,困难,小型多色环形纹章,纹样/环形纹章,113,6,8,66.36,,铺垫关：拉低本组均值并承接难度上升
14,5,3,3,setup_3,66.74,困难,中型多色饱满拼豆图,图案/普通拼豆图,438,7,10,66.36,,铺垫关：拉低本组均值并承接难度上升
15,31,3,4,challenge,68.07,困难,小型多色简笔轮廓,图标/简笔轮廓,153,5,17,66.36,2.29,每4关挑战点：高于本组前三关均值
16,17,4,1,setup_1,67.06,困难,小型多色镂空对称图腾,纹样/镂空图腾,131,5,11,67.69,,铺垫关：拉低本组均值并承接难度上升
17,30,4,2,setup_2,67.08,困难,小型多色普通拼豆图,图案/普通拼豆图,94,6,12,67.69,,铺垫关：拉低本组均值并承接难度上升
18,43,4,3,setup_3,67.59,困难,小型多色双轴对称图腾,纹样/双轴对称图腾,256,6,14,67.69,,铺垫关：拉低本组均值并承接难度上升
